,variable,experiment,units,frequency,ensemble,model,year,value,total_area
0,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2015,1.1940088e-08,4.2209505e+24
1,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2016,1.1946342e-08,4.2209505e+24
2,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2017,1.1958008e-08,4.2209505e+24
3,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2018,1.19674555e-08,4.2209505e+24
4,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2019,1.2205196e-08,4.2209505e+24
5,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2020,1.212156e-08,4.2209505e+24
6,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2021,1.19887105e-08,4.2209505e+24
7,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2022,1.2258204e-08,4.2209505e+24
8,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2023,1.228269e-08,4.2209505e+24
9,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2024,1.2450123e-08,4.2209505e+24
10,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2025,1.2483937e-08,4.2209505e+24
11,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2026,1.2394673e-08,4.2209505e+24
12,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2027,1.253046e-08,4.2209505e+24
13,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2028,1.2528784e-08,4.2209505e+24
14,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2029,1.2506168e-08,4.2209505e+24
15,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2030,1.2544539e-08,4.2209505e+24
16,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2031,1.2552232e-08,4.2209505e+24
17,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2032,1.2816727e-08,4.2209505e+24
18,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2033,1.269609e-08,4.2209505e+24
19,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2034,1.264679e-08,4.2209505e+24
20,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2035,1.27828015e-08,4.2209505e+24
21,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2036,1.28346445e-08,4.2209505e+24
22,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2037,1.2892824e-08,4.2209505e+24
23,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2038,1.2933615e-08,4.2209505e+24
24,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2039,1.29575115e-08,4.2209505e+24
25,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2040,1.284993e-08,4.2209505e+24
26,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2041,1.2749006e-08,4.2209505e+24
27,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2042,1.3007555e-08,4.2209505e+24
28,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2043,1.3038452e-08,4.2209505e+24
29,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2044,1.2915582e-08,4.2209505e+24
30,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2045,1.3082634e-08,4.2209505e+24
31,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2046,1.31353595e-08,4.2209505e+24
32,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2047,1.3161262e-08,4.2209505e+24
33,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2048,1.3124019e-08,4.2209505e+24
34,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2049,1.3197458e-08,4.2209505e+24
35,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2050,1.326586e-08,4.2209505e+24
36,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2051,1.3251213e-08,4.2209505e+24
37,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2052,1.321343e-08,4.2209505e+24
38,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2053,1.32813325e-08,4.2209505e+24
39,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2054,1.3388796e-08,4.2209505e+24
40,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2055,1.346097e-08,4.2209505e+24
41,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2056,1.3462096e-08,4.2209505e+24
42,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2057,1.3553318e-08,4.2209505e+24
43,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2058,1.36549785e-08,4.2209505e+24
44,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2059,1.3470068e-08,4.2209505e+24
45,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2060,1.353931e-08,4.2209505e+24
46,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2061,1.3473644e-08,4.2209505e+24
47,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2062,1.3652961e-08,4.2209505e+24
48,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2063,1.3596992e-08,4.2209505e+24
49,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2064,1.3443962e-08,4.2209505e+24
50,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2065,1.3639284e-08,4.2209505e+24
51,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2066,1.3678988e-08,4.2209505e+24
52,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2067,1.3544365e-08,4.2209505e+24
53,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2068,1.3762276e-08,4.2209505e+24
54,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2069,1.3797801e-08,4.2209505e+24
55,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2070,1.3747193e-08,4.2209505e+24
56,rh,ssp245,kg m-2 s-1,mon,r2i1p1f1,IPSL-CM6A-LR,2071,1.3794579e-08,4.2209505e+24
