,variable,experiment,units,frequency,ensemble,model,year,value,total_area
0,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2015,2.1061737e-08,1.0471339e+25
1,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2016,2.1145167e-08,1.0471339e+25
2,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2017,2.1458002e-08,1.0471339e+25
3,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2018,2.1476135e-08,1.0471339e+25
4,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2019,2.1885883e-08,1.0471339e+25
5,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2020,2.1881709e-08,1.0471339e+25
6,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2021,2.2014481e-08,1.0471339e+25
7,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2022,2.2026299e-08,1.0471339e+25
8,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2023,2.202465e-08,1.0471339e+25
9,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2024,2.2347116e-08,1.0471339e+25
10,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2025,2.2616154e-08,1.0471339e+25
11,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2026,2.2678556e-08,1.0471339e+25
12,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2027,2.2459723e-08,1.0471339e+25
13,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2028,2.2760931e-08,1.0471339e+25
14,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2029,2.286651e-08,1.0471339e+25
15,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2030,2.3161157e-08,1.0471339e+25
16,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2031,2.3210651e-08,1.0471339e+25
17,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2032,2.3337968e-08,1.0471339e+25
18,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2033,2.3688072e-08,1.0471339e+25
19,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2034,2.3589699e-08,1.0471339e+25
20,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2035,2.3751625e-08,1.0471339e+25
21,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2036,2.3583612e-08,1.0471339e+25
22,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2037,2.3848502e-08,1.0471339e+25
23,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2038,2.4114165e-08,1.0471339e+25
24,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2039,2.4312746e-08,1.0471339e+25
25,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2040,2.4574318e-08,1.0471339e+25
26,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2041,2.4518613e-08,1.0471339e+25
27,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2042,2.4728857e-08,1.0471339e+25
28,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2043,2.5026957e-08,1.0471339e+25
29,rh,ssp585,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2044,2.5061013e-08,1.0471339e+25
