,variable,experiment,units,frequency,ensemble,model,year,value,total_area
0,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2015,1.0336297e-08,2.6714497e+24
1,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2016,1.0529528e-08,2.6714497e+24
2,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2017,1.0476847e-08,2.6714497e+24
3,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2018,1.0524009e-08,2.6714497e+24
4,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2019,1.0637067e-08,2.6714497e+24
5,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2020,1.06084705e-08,2.6714497e+24
6,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2021,1.0452485e-08,2.6714497e+24
7,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2022,1.0526901e-08,2.6714497e+24
8,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2023,1.0535019e-08,2.6714497e+24
9,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2024,1.0800998e-08,2.6714497e+24
10,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2025,1.0580128e-08,2.6714497e+24
11,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2026,1.0940468e-08,2.6714497e+24
12,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2027,1.1029272e-08,2.6714497e+24
13,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2028,1.08564535e-08,2.6714497e+24
14,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2029,1.0689011e-08,2.6714497e+24
15,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2030,1.0749681e-08,2.6714497e+24
16,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2031,1.1085383e-08,2.6714497e+24
17,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2032,1.0731839e-08,2.6714497e+24
18,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2033,1.0823452e-08,2.6714497e+24
19,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2034,1.0711736e-08,2.6714497e+24
20,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2035,1.0642747e-08,2.6714497e+24
21,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2036,1.0867704e-08,2.6714497e+24
22,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2037,1.0865086e-08,2.6714497e+24
23,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2038,1.0641236e-08,2.6714497e+24
24,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2039,1.0973731e-08,2.6714497e+24
25,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2040,1.0801692e-08,2.6714497e+24
26,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2041,1.0984448e-08,2.6714497e+24
27,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2042,1.0913683e-08,2.6714497e+24
28,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2043,1.1056177e-08,2.6714497e+24
29,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2044,1.1056354e-08,2.6714497e+24
30,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2045,1.1176397e-08,2.6714497e+24
31,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2046,1.08545715e-08,2.6714497e+24
32,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2047,1.08521006e-08,2.6714497e+24
33,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2048,1.0978372e-08,2.6714497e+24
34,rh,ssp245,kg m-2 s-1,mon,r5i1p1f2,CNRM-ESM2-1,2049,1.1130088e-08,2.6714497e+24
