,variable,experiment,units,frequency,ensemble,model,year,value,land_area
49,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1899,7.848331e-09,148579500000000.0
50,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1900,7.807489e-09,148579500000000.0
51,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1901,7.875944e-09,148579500000000.0
52,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1902,7.870072e-09,148579500000000.0
53,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1903,7.774685e-09,148579500000000.0
54,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1904,7.762457e-09,148579500000000.0
55,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1905,7.695669e-09,148579500000000.0
56,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1906,7.693928e-09,148579500000000.0
57,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1907,7.748007e-09,148579500000000.0
58,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1908,7.7588895e-09,148579500000000.0
59,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1909,7.849813e-09,148579500000000.0
60,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1910,7.897061e-09,148579500000000.0
61,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1911,7.832708e-09,148579500000000.0
62,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1912,7.857465e-09,148579500000000.0
63,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1913,7.750094e-09,148579500000000.0
64,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1914,7.742569e-09,148579500000000.0
65,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1915,7.79537e-09,148579500000000.0
66,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1916,7.929891e-09,148579500000000.0
67,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1917,7.9125515e-09,148579500000000.0
68,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1918,7.893996e-09,148579500000000.0
69,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1919,7.918988e-09,148579500000000.0
70,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1920,7.974205e-09,148579500000000.0
71,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1921,7.9181035e-09,148579500000000.0
72,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1922,7.95175e-09,148579500000000.0
73,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1923,8.032665e-09,148579500000000.0
74,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1924,7.840177e-09,148579500000000.0
75,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1925,7.843512e-09,148579500000000.0
76,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1926,7.92291e-09,148579500000000.0
77,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1927,7.873496e-09,148579500000000.0
78,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1928,7.942709e-09,148579500000000.0
79,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1929,7.958472e-09,148579500000000.0
80,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1930,8.0522495e-09,148579500000000.0
81,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1931,8.140637e-09,148579500000000.0
82,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1932,7.988805e-09,148579500000000.0
83,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1933,7.98379e-09,148579500000000.0
84,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1934,8.0903915e-09,148579500000000.0
85,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1935,8.147803e-09,148579500000000.0
86,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1936,8.080864e-09,148579500000000.0
87,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1937,7.975714e-09,148579500000000.0
88,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1938,8.106186e-09,148579500000000.0
89,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1939,7.95371e-09,148579500000000.0
90,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1940,7.905766e-09,148579500000000.0
91,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1941,8.019609e-09,148579500000000.0
92,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1942,8.127177e-09,148579500000000.0
93,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1943,7.988274e-09,148579500000000.0
94,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1944,8.102696e-09,148579500000000.0
95,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1945,7.947493e-09,148579500000000.0
96,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1946,8.0732825e-09,148579500000000.0
97,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1947,7.9913605e-09,148579500000000.0
98,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1948,8.094982e-09,148579500000000.0
99,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1949,8.157244e-09,148579500000000.0
100,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1950,8.287169e-09,148579500000000.0
101,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1951,8.223728e-09,148579500000000.0
102,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1952,8.268499e-09,148579500000000.0
103,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1953,8.244397e-09,148579500000000.0
104,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1954,8.215083e-09,148579500000000.0
105,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1955,8.240526e-09,148579500000000.0
106,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1956,8.325509e-09,148579500000000.0
107,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1957,8.339037e-09,148579500000000.0
108,rh,esm-hist,kg m-2 s-1,mon,r1i1p1f2,CNRM-ESM2-1,1958,8.1405815e-09,148579500000000.0
