,variable,experiment,units,frequency,ensemble,model,year,value,total_area
0,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2015,2.120008e-08,1.0471339e+25
1,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2016,2.106517e-08,1.0471339e+25
2,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2017,2.1535309e-08,1.0471339e+25
3,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2018,2.1400433e-08,1.0471339e+25
4,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2019,2.1449864e-08,1.0471339e+25
5,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2020,2.1664924e-08,1.0471339e+25
6,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2021,2.1839233e-08,1.0471339e+25
7,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2022,2.1830203e-08,1.0471339e+25
8,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2023,2.2056104e-08,1.0471339e+25
9,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2024,2.2091443e-08,1.0471339e+25
10,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2025,2.2181224e-08,1.0471339e+25
11,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2026,2.2106265e-08,1.0471339e+25
12,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2027,2.220257e-08,1.0471339e+25
13,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2028,2.2157378e-08,1.0471339e+25
14,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2029,2.2590614e-08,1.0471339e+25
15,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2030,2.231703e-08,1.0471339e+25
16,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2031,2.2247109e-08,1.0471339e+25
17,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2032,2.250816e-08,1.0471339e+25
18,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2033,2.2842178e-08,1.0471339e+25
19,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2034,2.2942466e-08,1.0471339e+25
20,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2035,2.2995176e-08,1.0471339e+25
21,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2036,2.2827967e-08,1.0471339e+25
22,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2037,2.3183786e-08,1.0471339e+25
23,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2038,2.3312381e-08,1.0471339e+25
24,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2039,2.369469e-08,1.0471339e+25
25,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2040,2.3441302e-08,1.0471339e+25
26,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2041,2.317883e-08,1.0471339e+25
27,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2042,2.3706164e-08,1.0471339e+25
28,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2043,2.3532998e-08,1.0471339e+25
29,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2044,2.3962011e-08,1.0471339e+25
30,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2045,2.4148852e-08,1.0471339e+25
31,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2046,2.3842789e-08,1.0471339e+25
32,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2047,2.4107583e-08,1.0471339e+25
33,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2048,2.4731028e-08,1.0471339e+25
34,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2049,2.4612639e-08,1.0471339e+25
35,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2050,2.4256764e-08,1.0471339e+25
36,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2051,2.4790294e-08,1.0471339e+25
37,rh,ssp245,kg m-2 s-1,mon,r9i1p1f1,CanESM5,2052,2.4784754e-08,1.0471339e+25
