,variable,experiment,units,frequency,ensemble,model,year,value,total_area
0,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2015,1.6537731e-08,3.1313533e+24
1,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2016,1.650732e-08,3.1313533e+24
2,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2017,1.6730235e-08,3.1313533e+24
3,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2018,1.6657056e-08,3.1313533e+24
4,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2019,1.6375648e-08,3.1313533e+24
5,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2020,1.6827281e-08,3.1313533e+24
6,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2021,1.667468e-08,3.1313533e+24
7,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2022,1.6712074e-08,3.1313533e+24
8,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2023,1.6580625e-08,3.1313533e+24
9,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2024,1.6944742e-08,3.1313533e+24
10,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2025,1.665635e-08,3.1313533e+24
11,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2026,1.6791118e-08,3.1313533e+24
12,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2027,1.717492e-08,3.1313533e+24
13,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2028,1.6980433e-08,3.1313533e+24
14,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2029,1.7214765e-08,3.1313533e+24
15,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2030,1.7015127e-08,3.1313533e+24
16,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2031,1.7499683e-08,3.1313533e+24
17,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2032,1.7742588e-08,3.1313533e+24
18,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2033,1.7667587e-08,3.1313533e+24
19,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2034,1.735421e-08,3.1313533e+24
20,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2035,1.761814e-08,3.1313533e+24
21,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2036,1.7498435e-08,3.1313533e+24
22,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2037,1.769459e-08,3.1313533e+24
23,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2038,1.8021383e-08,3.1313533e+24
24,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2039,1.770918e-08,3.1313533e+24
25,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2040,1.7411681e-08,3.1313533e+24
26,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2041,1.766916e-08,3.1313533e+24
27,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2042,1.761598e-08,3.1313533e+24
28,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2043,1.7648597e-08,3.1313533e+24
29,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2044,1.8079696e-08,3.1313533e+24
30,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2045,1.798247e-08,3.1313533e+24
31,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2046,1.8455664e-08,3.1313533e+24
32,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2047,1.8682401e-08,3.1313533e+24
33,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2048,1.8663664e-08,3.1313533e+24
34,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2049,1.8424002e-08,3.1313533e+24
35,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2050,1.8667587e-08,3.1313533e+24
36,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2051,1.8435657e-08,3.1313533e+24
37,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2052,1.8212281e-08,3.1313533e+24
38,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2053,1.837289e-08,3.1313533e+24
39,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2054,1.8565748e-08,3.1313533e+24
40,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2055,1.8606052e-08,3.1313533e+24
41,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2056,1.925088e-08,3.1313533e+24
42,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2057,1.9163828e-08,3.1313533e+24
43,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2058,1.9066674e-08,3.1313533e+24
44,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2059,1.9111782e-08,3.1313533e+24
45,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2060,1.9413365e-08,3.1313533e+24
46,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2061,1.9355268e-08,3.1313533e+24
47,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2062,1.902958e-08,3.1313533e+24
48,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2063,1.953695e-08,3.1313533e+24
49,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2064,1.9657678e-08,3.1313533e+24
50,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2065,1.9310828e-08,3.1313533e+24
51,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2066,1.9007075e-08,3.1313533e+24
52,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2067,1.9884288e-08,3.1313533e+24
53,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2068,1.9799934e-08,3.1313533e+24
54,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2069,2.0255746e-08,3.1313533e+24
55,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2070,2.0300597e-08,3.1313533e+24
56,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2071,1.9816012e-08,3.1313533e+24
57,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2072,2.0641588e-08,3.1313533e+24
58,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2073,2.0576124e-08,3.1313533e+24
59,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2074,1.967578e-08,3.1313533e+24
60,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2075,2.0542991e-08,3.1313533e+24
61,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2076,2.123584e-08,3.1313533e+24
62,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2077,2.0729097e-08,3.1313533e+24
63,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2078,2.0480195e-08,3.1313533e+24
64,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2079,2.1440778e-08,3.1313533e+24
65,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2080,2.1038119e-08,3.1313533e+24
66,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2081,2.0700766e-08,3.1313533e+24
67,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2082,2.1344585e-08,3.1313533e+24
68,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2083,2.0787907e-08,3.1313533e+24
69,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2084,2.0908123e-08,3.1313533e+24
70,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2085,2.1397033e-08,3.1313533e+24
71,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2086,2.123978e-08,3.1313533e+24
72,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2087,2.1043888e-08,3.1313533e+24
73,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2088,2.17959e-08,3.1313533e+24
74,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2089,2.1596414e-08,3.1313533e+24
75,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2090,2.1437481e-08,3.1313533e+24
76,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2091,2.2095684e-08,3.1313533e+24
77,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2092,2.1810527e-08,3.1313533e+24
78,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2093,2.2119346e-08,3.1313533e+24
79,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2094,2.2828823e-08,3.1313533e+24
80,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2095,2.2567711e-08,3.1313533e+24
81,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2096,2.2260808e-08,3.1313533e+24
82,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2097,2.1964595e-08,3.1313533e+24
83,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2098,2.2010994e-08,3.1313533e+24
84,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2099,2.2417792e-08,3.1313533e+24
85,rh,ssp585,kg m-2 s-1,mon,r2i1p1f2,UKESM1-0-LL,2100,2.2585192e-08,3.1313533e+24
