,variable,experiment,units,frequency,ensemble,model,year,value,total_area
0,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2015,2.0971443e-08,1.0471339e+25
1,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2016,2.1269429e-08,1.0471339e+25
2,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2017,2.1412482e-08,1.0471339e+25
3,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2018,2.1228056e-08,1.0471339e+25
4,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2019,2.1838124e-08,1.0471339e+25
5,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2020,2.1728178e-08,1.0471339e+25
6,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2021,2.2241709e-08,1.0471339e+25
7,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2022,2.2095152e-08,1.0471339e+25
8,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2023,2.2189782e-08,1.0471339e+25
9,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2024,2.2050605e-08,1.0471339e+25
10,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2025,2.2345674e-08,1.0471339e+25
11,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2026,2.226808e-08,1.0471339e+25
12,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2027,2.2554024e-08,1.0471339e+25
13,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2028,2.2883187e-08,1.0471339e+25
14,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2029,2.2828727e-08,1.0471339e+25
15,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2030,2.2930672e-08,1.0471339e+25
16,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2031,2.3127916e-08,1.0471339e+25
17,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2032,2.2791665e-08,1.0471339e+25
18,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2033,2.3912127e-08,1.0471339e+25
19,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2034,2.3405391e-08,1.0471339e+25
20,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2035,2.3891145e-08,1.0471339e+25
21,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2036,2.3663077e-08,1.0471339e+25
22,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2037,2.3846104e-08,1.0471339e+25
23,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2038,2.411641e-08,1.0471339e+25
24,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2039,2.4551689e-08,1.0471339e+25
25,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2040,2.4340686e-08,1.0471339e+25
26,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2041,2.4258528e-08,1.0471339e+25
27,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2042,2.4817313e-08,1.0471339e+25
28,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2043,2.5327532e-08,1.0471339e+25
29,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2044,2.4997233e-08,1.0471339e+25
30,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2045,2.5389488e-08,1.0471339e+25
31,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2046,2.5394174e-08,1.0471339e+25
32,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2047,2.5140018e-08,1.0471339e+25
33,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2048,2.5966386e-08,1.0471339e+25
34,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2049,2.5719693e-08,1.0471339e+25
35,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2050,2.5933387e-08,1.0471339e+25
36,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2051,2.6169685e-08,1.0471339e+25
37,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2052,2.6813803e-08,1.0471339e+25
38,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2053,2.6509262e-08,1.0471339e+25
39,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2054,2.6283638e-08,1.0471339e+25
40,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2055,2.6680448e-08,1.0471339e+25
41,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2056,2.7442498e-08,1.0471339e+25
42,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2057,2.6958114e-08,1.0471339e+25
43,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2058,2.7062717e-08,1.0471339e+25
44,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2059,2.7423729e-08,1.0471339e+25
45,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2060,2.7787218e-08,1.0471339e+25
46,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2061,2.7941601e-08,1.0471339e+25
47,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2062,2.8101937e-08,1.0471339e+25
48,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2063,2.7924179e-08,1.0471339e+25
49,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2064,2.8087856e-08,1.0471339e+25
50,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2065,2.8244196e-08,1.0471339e+25
51,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2066,2.8732343e-08,1.0471339e+25
52,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2067,2.8887724e-08,1.0471339e+25
53,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2068,2.8861082e-08,1.0471339e+25
54,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2069,2.8966916e-08,1.0471339e+25
55,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2070,2.9126738e-08,1.0471339e+25
56,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2071,2.9487872e-08,1.0471339e+25
57,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2072,2.9514732e-08,1.0471339e+25
58,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2073,2.96145e-08,1.0471339e+25
59,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2074,3.0332824e-08,1.0471339e+25
60,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2075,2.9953245e-08,1.0471339e+25
61,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2076,3.010967e-08,1.0471339e+25
62,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2077,3.039266e-08,1.0471339e+25
63,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2078,3.0500384e-08,1.0471339e+25
64,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2079,3.1277732e-08,1.0471339e+25
65,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2080,3.16079e-08,1.0471339e+25
66,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2081,3.0927104e-08,1.0471339e+25
67,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2082,3.129024e-08,1.0471339e+25
68,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2083,3.2032723e-08,1.0471339e+25
69,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2084,3.206011e-08,1.0471339e+25
70,rh,ssp585,kg m-2 s-1,mon,r3i1p1f1,CanESM5,2085,3.1945476e-08,1.0471339e+25
