,variable,experiment,units,frequency,ensemble,model,year,value,total_area
0,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2015,2.116275e-08,1.0471339e+25
1,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2016,2.104023e-08,1.0471339e+25
2,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2017,2.1320709e-08,1.0471339e+25
3,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2018,2.1382526e-08,1.0471339e+25
4,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2019,2.1438552e-08,1.0471339e+25
5,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2020,2.1758938e-08,1.0471339e+25
6,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2021,2.2046203e-08,1.0471339e+25
7,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2022,2.171114e-08,1.0471339e+25
8,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2023,2.2156735e-08,1.0471339e+25
9,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2024,2.209938e-08,1.0471339e+25
10,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2025,2.2478714e-08,1.0471339e+25
11,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2026,2.2646873e-08,1.0471339e+25
12,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2027,2.2659206e-08,1.0471339e+25
13,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2028,2.256005e-08,1.0471339e+25
14,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2029,2.2696305e-08,1.0471339e+25
15,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2030,2.275202e-08,1.0471339e+25
16,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2031,2.3367612e-08,1.0471339e+25
17,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2032,2.3160132e-08,1.0471339e+25
18,rh,ssp585,kg m-2 s-1,mon,r4i1p2f1,CanESM5,2033,2.3707885e-08,1.0471339e+25
