"Experiment","Ensemble","Model","Data","Time","Temp"
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",0,281.072448730469
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",1,281.093414306641
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",2,280.987548828125
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",3,281.116882324219
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",4,281.234252929688
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",5,280.899383544922
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",6,281.082427978516
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",7,281.239318847656
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",8,281.061218261719
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",9,280.974517822266
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",10,281.269195556641
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",11,281.258972167969
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",12,280.965698242188
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",13,281.175354003906
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",14,281.202972412109
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",15,281.242095947266
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",16,281.725036621094
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",17,281.797973632812
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",18,281.311492919922
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",19,281.556701660156
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",20,281.842224121094
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",21,281.714416503906
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",22,281.709594726562
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",23,281.670013427734
"1pctCO2","r1i1p1f1","ACCESS-CM2","Land",24,281.434967041016
