"","File.x","variable","experiment","units","frequency","ensemble","model","year","value","name","rownum"
"1","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1850,0.000285730078758206,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",1
"2","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1851,0.000288587378842446,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",2
"3","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1852,0.000291473251612236,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",3
"4","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1853,0.000294387983255244,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",4
"5","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1854,0.000297331867235092,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",5
"6","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1855,0.00030030518003817,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",6
"7","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1856,0.000303308234530656,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",7
"8","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1857,0.000306341316900216,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",8
"9","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1858,0.000309404732737069,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",9
"10","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1859,0.00031249877550484,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",10
"11","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1860,0.000315623762920344,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",11
"12","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1861,0.000318780005424439,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",12
"13","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1862,0.000321967801331387,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",13
"14","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1863,0.000325187480484601,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",14
"15","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1864,0.000328439353324939,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",15
"16","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1865,0.000331723749695811,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",16
"17","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1866,0.000335040987314035,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",17
"18","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1867,0.000338391398448342,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",18
"19","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1868,0.000341775308091504,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",19
"20","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1869,0.000345193063064168,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",20
"21","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1870,0.000348644995635065,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",21
"22","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1871,0.000352131442923564,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",22
"23","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1872,0.00035565275902627,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",23
"24","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1873,0.000359209285913191,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",24
"25","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1874,0.000362801377680929,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",25
"26","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1875,0.000366429388426089,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",26
"27","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1876,0.00037009368922251,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",27
"28","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1877,0.000373794622040198,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",28
"29","1","co2","1pctCO2","mol mol-1","mon","r1i1p1f1","BCC-CSM2-MR",1878,0.00037753257007959,"BCC-CSM2-MR_1pctCO2_r1i1p1f1",29
