"model","experiment","ensemble","variable","year","value","units"
"CanESM5","esm-hist","r1i1p1f1","rh",1850,60.2859,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1851,59.5078,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1852,59.6983,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1853,60.2526,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1854,60.4797,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1855,60.669,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1856,60.0589,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1857,61.2776,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1858,60.5872,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1859,61.2076,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1860,60.5433,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1861,59.4534,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1862,60.6756,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1863,60.3878,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1864,60.8619,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1865,60.541,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1866,60.9573,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1867,61.4249,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1868,61.1476,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1869,60.7085,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1870,60.744,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1871,61.2247,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1872,61.647,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1873,61.6558,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1874,62.1279,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1875,62.2045,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1876,61.9844,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1877,61.471,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1878,61.434,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1879,61.3312,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1880,62.4178,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1881,62.3323,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1882,61.3727,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1883,61.3314,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1884,60.4886,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1885,61.427,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1886,62.2053,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1887,61.6702,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1888,62.7394,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1889,61.8709,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1890,62.0762,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1891,61.6742,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1892,62.1035,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1893,62.364,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1894,62.7089,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1895,62.3375,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1896,62.4716,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1897,63.0315,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1898,62.9156,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1899,63.133,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1900,63.7104,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1901,62.9592,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1902,62.7906,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1903,61.723,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1904,63.5239,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1905,63.1988,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1906,63.1193,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1907,62.4998,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1908,63.1247,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1909,63.5177,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1910,64.2151,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1911,63.6209,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1912,63.1642,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1913,63.5393,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1914,63.4123,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1915,64.52,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1916,64.9837,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1917,64.6218,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1918,64.0015,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1919,63.881,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1920,65.9519,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1921,64.2787,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1922,65.2499,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1923,65.2183,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1924,64.7998,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1925,65.2677,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1926,64.8847,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1927,65.8326,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1928,65.5618,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1929,65.6909,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1930,65.6559,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1931,65.7094,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1932,66.639,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1933,65.9323,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1934,65.5397,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1935,66.1685,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1936,66.6265,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1937,66.9906,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1938,67.2389,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1939,67.5796,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1940,66.9036,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1941,66.465,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1942,67.9674,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1943,67.2772,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1944,67.6617,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1945,68.1107,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1946,67.8834,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1947,66.6999,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1948,67.4016,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1949,68.7773,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1950,68.0876,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1951,68.4078,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1952,68.2527,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1953,69.5105,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1954,69.2311,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1955,69.9195,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1956,69.2653,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1957,69.4912,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1958,70.176,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1959,70.5464,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1960,70.7846,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1961,69.8441,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1962,70.9898,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1963,69.2303,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1964,69.5075,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1965,69.7772,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1966,70.163,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1967,70.7256,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1968,70.4922,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1969,71.0674,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1970,71.3685,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1971,71.5164,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1972,71.8186,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1973,71.5515,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1974,71.8714,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1975,71.9045,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1976,71.8024,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1977,71.7688,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1978,72.7208,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1979,73.0924,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1980,72.1348,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1981,72.5054,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1982,73.2433,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1983,73.6947,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1984,75.1342,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1985,72.919,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1986,74.4375,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1987,76.2497,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1988,74.3999,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1989,74.3826,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1990,75.2064,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1991,74.559,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1992,74.1704,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1993,74.4242,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1994,76.0249,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1995,76.7859,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1996,75.0401,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1997,76.7365,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1998,77.4289,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",1999,76.5628,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",2000,78.04,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",2001,78.2258,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",2002,78.4179,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",2003,78.1738,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",2004,79.5665,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",2005,79.5471,"Pg/yr"
"CanESM5","esm-hist","r1i1p1f1","rh",2006,80.1682,"Pg/yr"
