,variable,experiment,units,frequency,ensemble,model,year,value,land_area
50,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2065,1.7159401e-08,146994670000000.0
51,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2066,1.6228816e-08,146994670000000.0
52,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2067,1.5933944e-08,146994670000000.0
53,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2068,1.6645789e-08,146994670000000.0
54,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2069,1.6269919e-08,146994670000000.0
55,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2070,1.63743e-08,146994670000000.0
56,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2071,1.6875225e-08,146994670000000.0
57,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2072,1.6399492e-08,146994670000000.0
58,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2073,1.6254425e-08,146994670000000.0
59,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2074,1.6174784e-08,146994670000000.0
60,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2075,1.656853e-08,146994670000000.0
61,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2076,1.6595026e-08,146994670000000.0
62,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2077,1.6706714e-08,146994670000000.0
63,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2078,1.6165782e-08,146994670000000.0
64,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2079,1.611855e-08,146994670000000.0
65,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2080,1.6398992e-08,146994670000000.0
66,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2081,1.6488164e-08,146994670000000.0
67,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2082,1.6012464e-08,146994670000000.0
68,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2083,1.6570377e-08,146994670000000.0
69,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2084,1.6420685e-08,146994670000000.0
70,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2085,1.6085005e-08,146994670000000.0
71,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2086,1.6283307e-08,146994670000000.0
72,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2087,1.712534e-08,146994670000000.0
73,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2088,1.6523773e-08,146994670000000.0
74,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2089,1.6467908e-08,146994670000000.0
75,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2090,1.6364202e-08,146994670000000.0
76,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2091,1.5950912e-08,146994670000000.0
77,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2092,1.5980232e-08,146994670000000.0
78,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2093,1.6240959e-08,146994670000000.0
79,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2094,1.6540577e-08,146994670000000.0
80,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2095,1.6603268e-08,146994670000000.0
81,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2096,1.6716676e-08,146994670000000.0
82,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2097,1.6674376e-08,146994670000000.0
83,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2098,1.631481e-08,146994670000000.0
84,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2099,1.5979658e-08,146994670000000.0
85,npp,ssp126,kg m-2 s-1,mon,r1i1p1f2,UKESM1-0-LL,2100,1.602357e-08,146994670000000.0
