,variable,experiment,units,frequency,ensemble,model,year,value,land_area
51,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1901,8.993666e-09,148661430000000.0
52,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1902,9.127244e-09,148661430000000.0
53,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1903,9.200786e-09,148661430000000.0
54,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1904,8.889927e-09,148661430000000.0
55,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1905,9.054542e-09,148661430000000.0
56,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1906,9.083064e-09,148661430000000.0
57,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1907,8.914656e-09,148661430000000.0
58,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1908,8.980689e-09,148661430000000.0
59,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1909,9.28794e-09,148661430000000.0
60,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1910,9.378002e-09,148661430000000.0
61,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1911,9.341897e-09,148661430000000.0
62,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1912,9.276261e-09,148661430000000.0
63,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1913,9.417899e-09,148661430000000.0
64,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1914,9.635059e-09,148661430000000.0
65,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1915,9.433815e-09,148661430000000.0
66,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1916,9.37595e-09,148661430000000.0
67,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1917,9.260629e-09,148661430000000.0
68,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1918,9.280222e-09,148661430000000.0
69,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1919,9.235959e-09,148661430000000.0
70,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1920,9.259527e-09,148661430000000.0
