"variable","experiment","units","ensemble","model","year","area","value"
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1850,"global",18.6402541666667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1851,"global",18.4961049166667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1852,"global",18.5349603333333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1853,"global",18.4986584166667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1854,"global",18.5840418333333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1855,"global",18.5312340833333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1856,"global",18.5723505833333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1857,"global",18.7143356666667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1858,"global",18.7328819166667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1859,"global",18.7866493333333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1860,"global",18.73744025
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1861,"global",18.6653154166667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1862,"global",18.592208
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1863,"global",18.63129125
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1864,"global",18.6370305
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1865,"global",18.5614785833333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1866,"global",18.5932765833333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1867,"global",18.5992028333333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1868,"global",18.5900365
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1869,"global",18.5777388333333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1870,"global",18.6052841666667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1871,"global",18.6525071666667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1872,"global",18.5967036666667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1873,"global",18.5782276666667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1874,"global",18.5156078333333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1875,"global",18.4665999166667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1876,"global",18.5513925833333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1877,"global",18.603836
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1878,"global",18.5476075833333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1879,"global",18.5892876666667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1880,"global",18.6622924166667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1881,"global",18.6206005
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1882,"global",18.58085775
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1883,"global",18.5244706666667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1884,"global",18.4817039166667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1885,"global",18.510723
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1886,"global",18.5857018333333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1887,"global",18.6124506666667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1888,"global",18.5455184166667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1889,"global",18.6702768333333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1890,"global",18.6839075833333
