"variable","experiment","units","ensemble","model","year","area","value"
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1850,"global",18.6402541666667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1851,"global",18.4961049166667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1852,"global",18.5349603333333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1853,"global",18.4986584166667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1854,"global",18.5840418333333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1855,"global",18.5312340833333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1856,"global",18.5723505833333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1857,"global",18.7143356666667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1858,"global",18.7328819166667
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1859,"global",18.7866493333333
"tos","historical","degC","r10i1p1f1","ACCESS-ESM1-5",1860,"global",18.73744025
"tos","historical","degC","r10i1p1f1","CanESM5",1850,"global",17.4209756666667
"tos","historical","degC","r10i1p1f1","CanESM5",1851,"global",17.4733035
"tos","historical","degC","r10i1p1f1","CanESM5",1852,"global",17.5567741666667
"tos","historical","degC","r10i1p1f1","CanESM5",1853,"global",17.568766
"tos","historical","degC","r10i1p1f1","CanESM5",1854,"global",17.473442
"tos","historical","degC","r10i1p1f1","CanESM5",1855,"global",17.5983770833333
"tos","historical","degC","r10i1p1f1","CanESM5",1856,"global",17.6462919166667
"tos","historical","degC","r10i1p1f1","CanESM5",1857,"global",17.6110319166667
"tos","historical","degC","r10i1p1f1","CanESM5",1858,"global",17.4945096666667
"tos","historical","degC","r10i1p1f1","CanESM5",1859,"global",17.56703675
"tos","historical","degC","r10i1p1f1","CanESM5",1860,"global",17.6306779166667
"tos","historical","degC","r10i1p1f1","EC-Earth3",1850,"global",18.5182588333333
"tos","historical","degC","r10i1p1f1","EC-Earth3",1851,"global",18.509582
"tos","historical","degC","r10i1p1f1","EC-Earth3",1852,"global",18.5303325833333
"tos","historical","degC","r10i1p1f1","EC-Earth3",1853,"global",18.4943536666667
"tos","historical","degC","r10i1p1f1","EC-Earth3",1854,"global",18.55680475
"tos","historical","degC","r10i1p1f1","EC-Earth3",1855,"global",18.6597355
"tos","historical","degC","r10i1p1f1","EC-Earth3",1856,"global",18.542884
"tos","historical","degC","r10i1p1f1","EC-Earth3",1857,"global",18.5115803333333
"tos","historical","degC","r10i1p1f1","EC-Earth3",1858,"global",18.53429175
"tos","historical","degC","r10i1p1f1","EC-Earth3",1859,"global",18.4987645
"tos","historical","degC","r10i1p1f1","EC-Earth3",1860,"global",18.38682375
"tos","historical","degC","r10i1p1f1","MIROC6",1850,"global",18.1181880833333
"tos","historical","degC","r10i1p1f1","MIROC6",1851,"global",18.2213905
"tos","historical","degC","r10i1p1f1","MIROC6",1852,"global",18.3239583333333
"tos","historical","degC","r10i1p1f1","MIROC6",1853,"global",18.07479925
"tos","historical","degC","r10i1p1f1","MIROC6",1854,"global",18.07129225
"tos","historical","degC","r10i1p1f1","MIROC6",1855,"global",18.1343059166667
"tos","historical","degC","r10i1p1f1","MIROC6",1856,"global",18.2507915833333
"tos","historical","degC","r10i1p1f1","MIROC6",1857,"global",18.4094268333333
"tos","historical","degC","r10i1p1f1","MIROC6",1858,"global",18.415835
"tos","historical","degC","r10i1p1f1","MIROC6",1859,"global",18.1941510833333
"tos","historical","degC","r10i1p1f1","MIROC6",1860,"global",18.2601580833333
"tos","historical","degC","r10i1p1f1","MPI-ESM1-2-HR",1850,"global",17.7157216666667
"tos","historical","degC","r10i1p1f1","MPI-ESM1-2-HR",1851,"global",17.6328429166667
