"Ensemble_Model","Data","Time","Temp"
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9500701.25,281.072448730469
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9510701.25,281.093414306641
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9520701.25,280.987548828125
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9530701.25,281.116882324219
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9540701.25,281.234252929688
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9550701.25,280.899383544922
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9560701.25,281.082427978516
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9570701.25,281.239318847656
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9580701.25,281.061218261719
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9590701.25,280.974517822266
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9600701.25,281.269195556641
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9610701.25,281.258972167969
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9620701.25,280.965698242188
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9630701.25,281.175354003906
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9640701.25,281.202972412109
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9650701.25,281.242095947266
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9660701.25,281.725036621094
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9670701.25,281.797973632812
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9680701.25,281.311492919922
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9690701.25,281.556701660156
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9700701.25,281.842224121094
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9710701.25,281.714416503906
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9720701.25,281.709594726562
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9730701.25,281.670013427734
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9740701.25,281.434967041016
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9750701.25,281.626037597656
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9760701.25,281.888305664062
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9770701.25,281.854217529297
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9780701.25,281.895263671875
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9790701.25,281.955841064453
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9800701.25,282.043518066406
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9810701.25,282.078247070312
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9820701.25,282.056488037109
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9830701.25,281.997711181641
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9840701.25,282.2294921875
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9850701.25,282.217742919922
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9860701.25,282.095947265625
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9870701.25,282.493469238281
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9880701.25,282.113464355469
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9890701.25,282.245269775391
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9900701.25,282.339904785156
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9910701.25,282.428863525391
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9920701.25,282.435363769531
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9930701.25,282.55224609375
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9940701.25,282.607391357422
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9950701.25,282.571868896484
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9960701.25,282.839233398438
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9970701.25,282.405120849609
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9980701.25,282.557281494141
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",9990701.25,282.727447509766
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10000701.25,282.745483398438
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10010701.25,282.776031494141
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10020701.25,282.817596435547
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10030701.25,282.764984130859
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10040701.25,282.989227294922
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10050701.25,283.238739013672
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10060701.25,283.220916748047
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10070701.25,283.097961425781
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10080701.25,283.085144042969
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10090701.25,282.978302001953
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10100701.25,283.241424560547
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10110701.25,283.618804931641
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10120701.25,283.041137695312
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10130701.25,283.279571533203
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10140701.25,283.246612548828
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10150701.25,283.636047363281
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10160701.25,283.762756347656
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10170701.25,283.468414306641
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10180701.25,283.713745117188
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10190701.25,283.893829345703
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10200701.25,283.59375
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10210701.25,283.855255126953
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10220701.25,283.760223388672
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10230701.25,283.8369140625
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10240701.25,283.704071044922
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10250701.25,284.112182617188
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10260701.25,284.330810546875
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10270701.25,284.402435302734
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10280701.25,284.551422119141
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10290701.25,284.176544189453
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10300701.25,284.599395751953
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10310701.25,284.694519042969
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10320701.25,284.504821777344
"1pctCO2_r1i1p1f1_ACCESS-CM2","Land",10330701.25,284.38232421875
